sentence,token,position,token_type,analysis_type,pos,dep,manual_autoregressive_seq2seq_source_entropy_bits,manual_autoregressive_seq2seq_source_surprisal_bits,manual_autoregressive_seq2seq_source_topk_entropy_k5_bits,manual_autoregressive_seq2seq_source_topk_mass_k5,manual_autoregressive_seq2seq_source_entmax_entropy_bits,manual_autoregressive_seq2seq_source_entmax_surprisal_bits,manual_autoregressive_seq2seq_source_entmax_topk_entropy_k5_bits,manual_autoregressive_seq2seq_source_entmax_topk_mass_k5,manual_autoregressive_seq2seq_source_entmax_branching_choices,manual_autoregressive_conditional_source_entropy_bits,manual_autoregressive_conditional_source_surprisal_bits,manual_autoregressive_conditional_source_topk_entropy_k5_bits,manual_autoregressive_conditional_source_topk_mass_k5,manual_autoregressive_conditional_source_entmax_entropy_bits,manual_autoregressive_conditional_source_entmax_surprisal_bits,manual_autoregressive_conditional_source_entmax_topk_entropy_k5_bits,manual_autoregressive_conditional_source_entmax_topk_mass_k5,manual_autoregressive_conditional_source_entmax_branching_choices,manual_bigram_decoder_source_entropy_bits,manual_bigram_decoder_source_surprisal_bits,manual_bigram_decoder_source_topk_entropy_k5_bits,manual_bigram_decoder_source_topk_mass_k5,manual_bigram_decoder_source_entmax_entropy_bits,manual_bigram_decoder_source_entmax_surprisal_bits,manual_bigram_decoder_source_entmax_topk_entropy_k5_bits,manual_bigram_decoder_source_entmax_topk_mass_k5,manual_bigram_decoder_source_entmax_branching_choices,candidate_idx,target_sentence,manual_autoregressive_seq2seq_target_entropy_bits,manual_autoregressive_seq2seq_target_surprisal_bits,manual_autoregressive_seq2seq_target_topk_entropy_k5_bits,manual_autoregressive_seq2seq_target_topk_mass_k5,manual_autoregressive_seq2seq_target_entmax_entropy_bits,manual_autoregressive_seq2seq_target_entmax_surprisal_bits,manual_autoregressive_seq2seq_target_entmax_topk_entropy_k5_bits,manual_autoregressive_seq2seq_target_entmax_topk_mass_k5,manual_autoregressive_seq2seq_target_entmax_branching_choices,manual_autoregressive_conditional_target_entropy_bits,manual_autoregressive_conditional_target_surprisal_bits,manual_autoregressive_conditional_target_topk_entropy_k5_bits,manual_autoregressive_conditional_target_topk_mass_k5,manual_autoregressive_conditional_target_entmax_entropy_bits,manual_autoregressive_conditional_target_entmax_surprisal_bits,manual_autoregressive_conditional_target_entmax_topk_entropy_k5_bits,manual_autoregressive_conditional_target_entmax_topk_mass_k5,manual_autoregressive_conditional_target_entmax_branching_choices,manual_bigram_decoder_target_entropy_bits,manual_bigram_decoder_target_surprisal_bits,manual_bigram_decoder_target_topk_entropy_k5_bits,manual_bigram_decoder_target_topk_mass_k5,manual_bigram_decoder_target_entmax_entropy_bits,manual_bigram_decoder_target_entmax_surprisal_bits,manual_bigram_decoder_target_entmax_topk_entropy_k5_bits,manual_bigram_decoder_target_entmax_topk_mass_k5,manual_bigram_decoder_target_entmax_branching_choices
Kobieta weszła do kawiarni.,pl_PL,0,source,manual_autoregressive,SPECIAL,SPECIAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobieta weszła do kawiarni.,▁Kobiet,1,source,manual_autoregressive,NOUN,nsubj,10.95953369140625,18.94896269793053,0.12186691164970398,0.3839711844921112,-0.0,20.0,-0.0,1.0,1.0,5.360540390014648,18.750015665072546,1.3630000352859497,0.6240032315254211,0.0009465639595873654,20.0,0.0009465639595873654,1.0,2.0,5.360540390014648,18.750015665072546,1.3630000352859497,0.6240032315254211,0.0009465639595873654,20.0,0.0009465639595873654,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobieta weszła do kawiarni.,a,2,source,manual_autoregressive,NOUN,nsubj,10.090099334716797,18.09966982011285,1.7186217308044434,0.40034231543540955,0.8113634586334229,20.0,0.8113633394241333,0.9999998211860657,3.0,8.281813621520996,16.303918813856303,0.820658266544342,0.5079928636550903,-0.0,20.0,-0.0,1.0,1.0,2.516294479370117,32.35509237508552,2.005195140838623,0.9287352561950684,1.316509485244751,20.0,1.316509485244751,0.9999999403953552,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobieta weszła do kawiarni.,▁we,3,source,manual_autoregressive,VERB,ROOT,6.937994003295898,18.234591980066494,0.2713775038719177,0.6223793625831604,-0.0,20.0,-0.0,1.0,1.0,5.368093967437744,16.69566580897136,0.890923261642456,0.7478588223457336,0.3512011766433716,20.0,0.35120105743408203,0.9999999403953552,2.0,3.721281051635742,23.837134818910062,0.27575549483299255,0.8247033953666687,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobieta weszła do kawiarni.,szła,4,source,manual_autoregressive,VERB,ROOT,3.583820343017578,21.95005708513268,0.7168374061584473,0.8344550728797913,-0.0,20.0,-0.0,1.0,1.0,4.167548179626465,21.850864590156547,1.1641687154769897,0.8353873491287231,0.9260632991790771,20.0,0.9260632991790771,1.0,2.0,1.703615427017212,24.40089167934909,0.7595664858818054,0.9537338614463806,0.13213710486888885,20.0,0.13213694095611572,0.9999999403953552,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobieta weszła do kawiarni.,▁do,5,source,manual_autoregressive,ADP,case,9.605823516845703,14.076356512030081,1.9707589149475098,0.4964142441749573,1.0032720565795898,20.0,1.003272294998169,1.0000001192092896,4.0,5.911375045776367,12.947062032468978,0.13955236971378326,0.6982550621032715,-0.0,20.0,-0.0,1.0,1.0,13.546304702758789,20.881094878284884,2.1613574028015137,0.17227424681186676,1.6213302612304688,20.0,1.6213303804397583,1.0000001192092896,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobieta weszła do kawiarni.,▁ka,6,source,manual_autoregressive,NOUN,obl,7.531491279602051,15.42358508405599,1.0808812379837036,0.6340597867965698,0.19781899452209473,20.0,0.1978188455104828,0.9999999403953552,2.0,6.232879638671875,12.589356376365156,1.5548605918884277,0.6926422715187073,0.76590895652771,20.0,0.7659088969230652,1.0,3.0,8.601048469543457,15.534462116861285,0.641218900680542,0.5260612964630127,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobieta weszła do kawiarni.,wia,7,source,manual_autoregressive,NOUN,obl,0.2454247772693634,19.927111293383525,0.11660092324018478,0.9939925670623779,-0.0,20.0,-0.0,1.0,1.0,8.781041145324707,15.148126123937821,1.726637840270996,0.5296412706375122,0.6279152631759644,20.0,0.6279150247573853,0.9999998211860657,3.0,0.0016703457804396749,38.47303041427241,0.0016276317182928324,0.9999988079071045,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobieta weszła do kawiarni.,rni,8,source,manual_autoregressive,NOUN,obl,8.968137741088867,20.640440233053187,1.7130932807922363,0.5322796702384949,0.42370691895484924,20.0,0.4237070679664612,1.0000001192092896,3.0,4.358767032623291,19.827746780814113,1.1638487577438354,0.8066396713256836,0.6754478812217712,20.0,0.6754478812217712,1.0,2.0,0.005626741796731949,32.95046698819967,0.002716883085668087,0.9998919367790222,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobieta weszła do kawiarni.,.,9,source,manual_autoregressive,NOUN,obl,9.005374908447266,11.943138402486829,1.1386202573776245,0.5466005802154541,0.23054203391075134,20.0,0.23054203391075134,1.0,2.0,11.202800750732422,10.61012620954912,1.415924310684204,0.3914578855037689,0.7124065160751343,20.0,0.7124065160751343,1.0,2.0,5.6333614338655025e-05,48.13901971091398,9.54616189119406e-06,0.9999985694885254,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
