sentence,token,position,token_type,analysis_type,pos,dep,conditional_source_entropy_bits,conditional_source_surprisal_bits,conditional_source_topk_entropy_k5_bits,conditional_source_topk_mass_k5,conditional_source_entmax_entropy_bits,conditional_source_entmax_surprisal_bits,conditional_source_entmax_topk_entropy_k5_bits,conditional_source_entmax_topk_mass_k5,conditional_source_entmax_branching_choices,conditional_bigram_source_entropy_bits,conditional_bigram_source_surprisal_bits,conditional_bigram_source_topk_entropy_k5_bits,conditional_bigram_source_topk_mass_k5,conditional_bigram_source_entmax_entropy_bits,conditional_bigram_source_entmax_surprisal_bits,conditional_bigram_source_entmax_topk_entropy_k5_bits,conditional_bigram_source_entmax_topk_mass_k5,conditional_bigram_source_entmax_branching_choices,candidate_idx,target_sentence,conditional_target_entropy_bits,conditional_target_surprisal_bits,conditional_target_topk_entropy_k5_bits,conditional_target_topk_mass_k5,conditional_target_entmax_entropy_bits,conditional_target_entmax_surprisal_bits,conditional_target_entmax_topk_entropy_k5_bits,conditional_target_entmax_topk_mass_k5,conditional_target_entmax_branching_choices,conditional_bigram_target_entropy_bits,conditional_bigram_target_surprisal_bits,conditional_bigram_target_topk_entropy_k5_bits,conditional_bigram_target_topk_mass_k5,conditional_bigram_target_entmax_entropy_bits,conditional_bigram_target_entmax_surprisal_bits,conditional_bigram_target_entmax_topk_entropy_k5_bits,conditional_bigram_target_entmax_topk_mass_k5,conditional_bigram_target_entmax_branching_choices
Kobieta weszła do kawiarni.,pl_PL,0,source,conditional,SPECIAL,SPECIAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
Kobieta weszła do kawiarni.,▁Kobiet,1,source,conditional,NOUN,nsubj,10.95953369140625,18.94896269793053,0.12186691164970398,0.3839711844921112,-0.0,20.0,-0.0,1.0,1.0,11.180344581604004,11.293919181244371,2.173933506011963,0.2954047918319702,1.665338158607483,20.0,1.665338158607483,1.0000001192092896,5.0,,,,,,,,,,,,,,,,,,,,
Kobieta weszła do kawiarni.,a,2,source,conditional,NOUN,nsubj,10.090099334716797,18.09966982011285,1.7186217308044434,0.40034231543540955,0.8113634586334229,20.0,0.8113633394241333,0.9999998211860657,3.0,11.068530082702637,6.198319365145938,2.1832404136657715,0.25957998633384705,1.752745270729065,20.0,1.7527453899383545,0.9999998807907104,4.0,,,,,,,,,,,,,,,,,,,,
Kobieta weszła do kawiarni.,▁we,3,source,conditional,VERB,ROOT,6.937994003295898,18.234591980066494,0.2713775038719177,0.6223793625831604,-0.0,20.0,-0.0,1.0,1.0,11.20353889465332,13.964396929683435,1.7962958812713623,0.317352831363678,1.0276422500610352,20.0,1.0276423692703247,1.0,3.0,,,,,,,,,,,,,,,,,,,,
Kobieta weszła do kawiarni.,szła,4,source,conditional,VERB,ROOT,3.583820343017578,21.95005708513268,0.7168374061584473,0.8344550728797913,-0.0,20.0,-0.0,1.0,1.0,12.04600715637207,15.778148737565578,1.4637870788574219,0.2947797179222107,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Kobieta weszła do kawiarni.,▁do,5,source,conditional,ADP,case,9.605823516845703,14.076356512030081,1.9707589149475098,0.4964142441749573,1.0032720565795898,20.0,1.003272294998169,1.0000001192092896,4.0,6.21248722076416,2.6712151106743964,1.9274767637252808,0.7215977907180786,1.1026175022125244,2.2971729165107186,1.1026175022125244,1.0,4.0,,,,,,,,,,,,,,,,,,,,
Kobieta weszła do kawiarni.,▁ka,6,source,conditional,NOUN,obl,7.531491279602051,15.42358508405599,1.0808812379837036,0.6340597867965698,0.19781899452209473,20.0,0.1978188455104828,0.9999999403953552,2.0,12.61884880065918,6.142055062375339,1.9261443614959717,0.2420908510684967,1.0511375665664673,20.0,1.0511373281478882,0.9999998211860657,3.0,,,,,,,,,,,,,,,,,,,,
Kobieta weszła do kawiarni.,wia,7,source,conditional,NOUN,obl,0.2454247772693634,19.927111293383525,0.11660092324018478,0.9939925670623779,-0.0,20.0,-0.0,1.0,1.0,12.96319580078125,9.646060088631238,2.1521785259246826,0.2750074863433838,1.622180700302124,20.0,1.622180700302124,0.9999997019767761,5.0,,,,,,,,,,,,,,,,,,,,
Kobieta weszła do kawiarni.,rni,8,source,conditional,NOUN,obl,8.968137741088867,20.640440233053187,1.7130932807922363,0.5322796702384949,0.42370691895484924,20.0,0.4237070679664612,1.0000001192092896,3.0,12.659743309020996,10.979304170640457,2.085707902908325,0.26891154050827026,1.3352998495101929,20.0,1.3352999687194824,1.0000001192092896,5.0,,,,,,,,,,,,,,,,,,,,
Kobieta weszła do kawiarni.,.,9,source,conditional,NOUN,obl,9.005374908447266,11.943138402486829,1.1386202573776245,0.5466005802154541,0.23054203391075134,20.0,0.23054203391075134,1.0,2.0,4.932003021240234,0.6239628673105683,0.7909997701644897,0.7641572952270508,-0.0,-0.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
